front,back,Fdown,Bdown,code
0,397,,-20,
0,215,,-20,
0,237,,-20,
0,247,,-20,
0,230,,-20,
0,271,,-20,
0,309,,-20,
0,321,,-20,
0,327,,-20,
0,376,,-20,
0,351,,-20,
0,253,,-20,
749,0,-19,,
925,0,-19,,
946,0,-19,,
948,0,-19,,
897,0,-19,,
953,0,-19,,
957,0,-19,,
956,0,-19,,
924,0,-19,,
961,0,-19,,
954,0,-19,,
924,0,-19,,
820,0,-19,,
670,0,-19,,
407,0,-19,,
256,0,-19,,
273,0,-19,,
277,0,-19,,
239,0,-19,,
148,0,,,
77,0,,,
60,0,,,
120,0,,,
122,0,,,
146,0,,,
150,0,,,
151,0,,,
152,0,,,
96,0,,,
0,0,,,
30,0,,,
54,0,,,
44,8,,,
53,62,,,
305,219,,,
358,0,,,
821,0,-19,,
847,0,-19,,
949,0,-19,,
797,0,-19,,
701,0,-19,,
919,0,-19,,
924,0,-19,,
909,0,-19,,
727,0,-19,,
896,0,-19,,
763,0,-19,,
907,0,-19,,
604,0,-19,,
539,0,-19,,
453,0,-19,,
781,0,-19,,
550,0,-19,,
596,0,-19,,
595,0,-19,,
534,0,-19,,
853,0,-19,,
856,0,-19,,
890,0,-19,,
906,0,-19,,
930,0,-19,,
936,0,-19,,
916,0,-19,,
813,0,-19,,
776,0,-19,,
795,0,-19,,
824,0,-19,,
850,0,-19,,
753,0,-19,,
810,0,-19,,
764,0,-19,,
673,0,-19,,
0,0,,,
610,0,-19,,
610,755,-19,-20,
610,849,-19,-20,
610,847,-19,-20,
610,889,-19,-20,
610,918,-19,-20,
610,926,-19,-20,
610,921,-19,-20,
610,920,-19,-20,
610,898,-19,-20,
610,635,-19,-20,
610,432,-19,-20,
610,452,-19,-20,
610,442,-19,-20,
610,449,-19,-20,
610,452,-19,-20,
610,460,-19,-20,
610,694,-19,-20,
610,840,-19,-20,
610,852,-19,-20,
610,850,-19,-20,
610,794,-19,-20,
610,662,-19,-20,
610,541,-19,-20,
610,361,-19,-20,
610,156,-19,-20,
851,106,-19,,
790,70,-19,,
927,30,-19,,
960,0,-19,,
957,0,-19,,
742,0,-19,,
252,0,-19,,
45,0,,,
0,0,,,
1,0,,,
0,0,,,
0,0,,,
0,0,,,
19,0,,,
0,0,,,
660,0,-19,,
943,0,-19,,
804,0,-19,,
909,0,-19,,
857,0,-19,,
945,0,-19,,
946,0,-19,,
942,0,-19,,
925,0,-19,,
929,0,-19,,
848,0,-19,,
474,0,-19,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
877,0,-19,,
939,0,-19,,
947,0,-19,,
937,0,-19,,
943,0,-19,,
870,0,-19,,
956,0,-19,,
893,0,-19,,
950,0,-19,,
950,0,-19,,
935,0,-19,,
778,0,-19,,
853,0,-19,,
770,0,-19,,
618,0,-19,,
661,0,-19,,
523,0,-19,,
579,0,-19,,
695,0,-19,,
716,0,-19,,
712,0,-19,,
710,0,-19,,
712,0,-19,,
703,0,-19,,
648,0,-19,,
566,0,-19,,
552,0,-19,,
564,0,-19,,
605,0,-19,,
600,0,-19,,
636,0,-19,,
589,0,-19,,
528,0,-19,,
519,0,-19,,
587,0,-19,,
562,0,-19,,
497,0,-19,,
333,0,-19,,
239,0,-19,,
210,0,-19,,
261,0,-19,,
252,0,-19,,
234,0,-19,,
189,0,-19,,
167,0,,,
172,0,,,
230,0,,,
237,0,,,
234,0,,,
155,0,,,
160,0,,,
149,0,,,
129,0,,,
70,0,,,
1,0,,,
9,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
454,0,,,
802,0,-19,,
950,0,-19,,
952,0,-19,,
854,0,-19,,
925,0,-19,,
925,0,-19,,
908,0,-19,,
876,0,-19,,
837,0,-19,,
773,0,-19,,
249,0,-19,,
56,0,,,
29,0,,,
0,0,,,
0,0,,,
34,0,,,
34,480,,-20,
34,676,,-20,
34,771,,-20,
34,808,,-20,
34,786,,-20,
34,725,,-20,
34,594,,-20,
34,557,,-20,
34,453,,-20,
34,271,,-20,
860,0,-19,,
691,0,-19,,
828,0,-19,,
0,0,,,
0,0,,,
34,0,,,
53,0,,,
43,0,,,
55,0,,,
170,0,,,
221,0,,,
221,712,,-20,
221,807,,-20,
221,679,,-20,
221,565,,-20,
221,473,,-20,
221,387,,-20,
221,295,,-20,
935,97,-19,,
925,0,-19,,
885,0,-19,,
883,5,-19,,
819,0,-19,,
266,0,-19,,
0,0,,,
0,0,,,
41,0,,,
14,0,,,
6,10,,,
54,0,,,
246,0,,,
334,0,,,
334,747,,-20,
334,820,,-20,
334,667,,-20,
334,489,,-20,
334,332,,-20,
914,141,-19,,
942,40,-19,,
925,26,-19,,
612,38,-19,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
874,0,-19,,
878,186,-19,,
878,684,-19,-20,
878,788,-19,-20,
878,724,-19,-20,
878,737,-19,-20,
878,702,-19,-20,
878,706,-19,-20,
878,748,-19,-20,
878,766,-19,-20,
878,793,-19,-20,
878,827,-19,-20,
878,845,-19,-20,
878,830,-19,-20,
878,810,-19,-20,
878,767,-19,-20,
878,666,-19,-20,
878,619,-19,-20,
878,588,-19,-20,
878,532,-19,-20,
878,500,-19,-20,
878,524,-19,-20,
878,590,-19,-20,
878,637,-19,-20,
878,656,-19,-20,
878,674,-19,-20,
878,698,-19,-20,
878,730,-19,-20,
878,730,-19,-20,
878,696,-19,-20,
878,644,-19,-20,
878,605,-19,-20,
878,581,-19,-20,
878,685,-19,-20,
878,705,-19,-20,
878,664,-19,-20,
878,671,-19,-20,
878,602,-19,-20,
878,394,-19,-20,
878,335,-19,-20,
878,348,-19,-20,
878,369,-19,-20,
878,389,-19,-20,
878,360,-19,-20,
878,481,-19,-20,
878,735,-19,-20,
878,763,-19,-20,
878,807,-19,-20,
878,842,-19,-20,
878,865,-19,-20,
878,879,-19,-20,
878,901,-19,-20,
878,918,-19,-20,
878,923,-19,-20,
878,927,-19,-20,
878,929,-19,-20,
878,928,-19,-20,
878,927,-19,-20,
878,925,-19,-20,
878,925,-19,-20,
878,925,-19,-20,
878,925,-19,-20,
878,922,-19,-20,
878,879,-19,-20,
878,704,-19,-20,
878,415,-19,-20,
878,331,-19,-20,
878,344,-19,-20,
878,385,-19,-20,
878,397,-19,-20,
878,302,-19,-20,
881,146,-19,,
881,533,-19,-20,
881,871,-19,-20,
881,888,-19,-20,
881,895,-19,-20,
881,903,-19,-20,
881,912,-19,-20,
881,914,-19,-20,
881,912,-19,-20,
881,894,-19,-20,
881,842,-19,-20,
881,829,-19,-20,
881,825,-19,-20,
881,818,-19,-20,
881,806,-19,-20,
881,803,-19,-20,
881,789,-19,-20,
881,773,-19,-20,
881,741,-19,-20,
881,709,-19,-20,
881,683,-19,-20,
881,675,-19,-20,
881,672,-19,-20,
881,647,-19,-20,
881,607,-19,-20,
881,572,-19,-20,
881,569,-19,-20,
881,566,-19,-20,
881,547,-19,-20,
881,553,-19,-20,
881,558,-19,-20,
881,572,-19,-20,
881,576,-19,-20,
881,570,-19,-20,
881,571,-19,-20,
881,566,-19,-20,
881,552,-19,-20,
881,662,-19,-20,
881,773,-19,-20,
881,811,-19,-20,
881,771,-19,-20,
881,623,-19,-20,
881,587,-19,-20,
881,558,-19,-20,
881,487,-19,-20,
881,428,-19,-20,
881,310,-19,-20,
881,256,-19,-20,
881,216,-19,-20,
881,157,-19,-20,
936,105,-19,,
943,77,-19,,
950,55,-19,,
895,52,-19,,
628,3,-19,,
33,0,,,
33,0,,,
0,0,,,
0,0,,,
0,0,,,
781,70,-19,,
938,0,-19,,
0,388,,,
944,339,-19,,
0,66,,,
919,0,-19,,
933,0,-19,,
773,0,-19,,
921,0,-19,,
821,0,-19,,
486,0,-19,,
0,0,,,
32,0,,,
60,0,,,
58,0,,,
58,0,,,
794,0,-19,,
906,0,-19,,
0,0,,,
854,0,-19,,
839,0,-19,,
0,0,,,
678,0,-19,,1
956,0,-19,,
834,0,-19,,
964,0,-19,,
941,0,-19,,
937,0,-19,,
871,0,-19,,
808,0,-19,,
567,0,-19,,
5,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
748,0,-19,,
0,0,,,
946,0,-19,,
774,0,-19,,
863,0,-19,,
0,0,,,
838,0,-19,,
893,0,-19,,
934,0,-19,,
940,0,-19,,
935,0,-19,,
931,0,-19,,
913,0,-19,,
842,0,-19,,
635,0,-19,,
58,0,,,
0,0,,,
8,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
423,0,,,
750,0,-19,,
920,0,-19,,
937,0,-19,,
0,0,,,
825,3,-19,,
938,0,-19,,
853,0,-19,,
908,0,-19,,
925,0,-19,,
924,0,-19,,
884,0,-19,,
594,0,-19,,
54,0,,,
39,0,,,
0,0,,,
5,0,,,
3,0,,,
115,0,,,
404,0,,,
809,68,-19,,1
809,486,-19,-20,
809,528,-19,-20,
809,437,-19,-20,
809,362,-19,-20,
809,246,-19,-20,
809,228,-19,-20,
809,211,-19,-20,
0,140,,,
0,0,,,
512,0,,,
